,playerID,yearID,stint,teamID,lgID,G,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,IBB,HBP,SH,SF,GIDP
98876,fuldsa01,2014,3,OAK,AL,53,157,20,33,6,2,1,15.0,8.0,1.0,14,28.0,1.0,0.0,3.0,0.0,2.0
98880,galvifr01,2014,1,PHI,NL,43,119,14,21,3,1,4,12.0,1.0,0.0,8,30.0,0.0,0.0,0.0,1.0,0.0
98882,garciav01,2014,1,CHA,AL,46,172,19,42,8,0,7,29.0,4.0,1.0,14,44.0,1.0,2.0,0.0,2.0,5.0
98886,garcile02,2014,1,CHA,AL,74,145,13,24,3,0,1,6.0,11.0,1.0,5,48.0,1.0,0.0,4.0,1.0,6.0
98889,gardnbr01,2014,1,NYA,AL,148,555,87,142,25,8,17,58.0,21.0,5.0,56,134.0,0.0,6.0,13.0,6.0,3.0
98891,gattiev01,2014,1,ATL,NL,108,369,41,97,17,1,22,52.0,0.0,0.0,22,97.0,3.0,8.0,0.0,2.0,9.0
98895,gennesc01,2014,1,MIL,NL,137,440,55,127,31,3,9,54.0,6.0,3.0,22,67.0,5.0,0.0,8.0,4.0,11.0
98896,gentrcr01,2014,1,OAK,AL,94,232,38,59,6,1,0,12.0,20.0,2.0,17,44.0,2.0,5.0,2.0,0.0,2.0
98904,gillaco01,2014,1,CHA,AL,130,464,50,131,31,5,7,57.0,0.0,4.0,36,78.0,4.0,3.0,0.0,3.0,5.0
98907,gimench01,2014,1,TEX,AL,34,107,13,28,10,0,0,11.0,0.0,1.0,11,26.0,1.0,0.0,0.0,0.0,3.0
98911,goebbja01,2014,1,SDN,NL,51,101,12,22,1,3,1,10.0,2.0,1.0,12,32.0,3.0,2.0,0.0,0.0,0.0
98913,goinsry01,2014,1,TOR,AL,67,181,14,34,6,3,1,15.0,0.0,1.0,5,42.0,0.0,0.0,6.0,1.0,4.0
98914,goldspa01,2014,1,ARI,NL,109,406,75,122,39,1,19,69.0,9.0,3.0,64,110.0,10.0,2.0,0.0,3.0,10.0
98916,gomesjo01,2014,1,BOS,AL,78,209,22,49,7,0,6,32.0,0.0,0.0,26,70.0,0.0,6.0,0.0,5.0,5.0
98918,gomesya01,2014,1,CLE,AL,135,485,61,135,25,3,21,74.0,0.0,0.0,24,120.0,3.0,3.0,0.0,6.0,13.0
98919,gomezca01,2014,1,MIL,NL,148,574,95,163,34,4,23,73.0,34.0,12.0,47,141.0,0.0,19.0,1.0,3.0,10.0
98922,gonzaad01,2014,1,LAN,NL,159,591,83,163,41,0,27,116.0,1.0,1.0,56,112.0,9.0,2.0,0.0,11.0,13.0
98924,gonzaca01,2014,1,COL,NL,70,260,35,62,15,1,11,38.0,3.0,0.0,19,70.0,2.0,1.0,0.0,1.0,7.0
98926,gonzama01,2014,1,HOU,AL,103,285,33,79,15,1,6,23.0,2.0,4.0,17,58.0,0.0,4.0,4.0,0.0,6.0
98930,gordoal01,2014,1,KCA,AL,156,563,87,150,34,1,19,74.0,12.0,3.0,65,126.0,5.0,11.0,0.0,4.0,11.0
98931,gordode01,2014,1,LAN,NL,148,609,92,176,24,12,2,34.0,64.0,19.0,31,107.0,0.0,4.0,3.0,3.0,3.0
98934,gosean01,2014,1,TOR,AL,94,239,31,54,8,1,2,13.0,15.0,5.0,25,74.0,0.0,5.0,4.0,1.0,9.0
98935,gosewtu01,2014,1,ARI,NL,41,129,6,29,8,0,1,7.0,0.0,0.0,3,24.0,0.0,0.0,0.0,0.0,6.0
98936,gosseph01,2014,1,ATL,NL,46,128,17,34,4,0,1,3.0,2.0,2.0,5,27.0,0.0,2.0,1.0,0.0,1.0
98937,grandcu01,2014,1,NYN,NL,155,564,73,128,27,2,20,66.0,8.0,2.0,79,141.0,1.0,6.0,0.0,5.0,1.0
98938,grandya01,2014,1,SDN,NL,128,377,47,85,19,1,15,49.0,3.0,0.0,58,115.0,1.0,2.0,0.0,6.0,7.0
98946,gregodi01,2014,1,ARI,NL,80,270,35,61,9,5,6,27.0,3.0,0.0,22,52.0,3.0,3.0,2.0,2.0,1.0
98948,grichra01,2014,1,SLN,NL,47,110,11,27,6,1,3,8.0,0.0,2.0,5,31.0,0.0,0.0,1.0,0.0,4.0
98952,grossro01,2014,1,HOU,AL,103,360,42,84,14,2,6,37.0,9.0,3.0,55,105.0,1.0,2.0,3.0,2.0,7.0
98960,guyerbr01,2014,1,TBA,AL,97,259,37,69,15,1,3,26.0,6.0,1.0,16,52.0,0.0,11.0,7.0,1.0,3.0
98961,guzmaje01,2014,1,HOU,AL,69,165,10,31,4,0,2,9.0,3.0,0.0,19,52.0,0.0,0.0,0.0,0.0,4.0
98962,gwynnto02,2014,1,PHI,NL,80,105,14,16,2,1,0,3.0,3.0,0.0,15,23.0,1.0,1.0,6.0,0.0,0.0
98963,gyorkje01,2014,1,SDN,NL,111,400,37,84,17,1,10,51.0,3.0,2.0,36,100.0,1.0,4.0,0.0,3.0,8.0
98971,hamilbi02,2014,1,CIN,NL,152,563,72,141,25,8,6,48.0,56.0,23.0,34,117.0,0.0,1.0,9.0,4.0,1.0
98972,hamiljo03,2014,1,LAA,AL,89,338,43,89,21,0,10,44.0,3.0,3.0,32,108.0,5.0,5.0,0.0,6.0,2.0
98976,hanigry01,2014,1,TBA,AL,84,225,18,49,9,0,5,34.0,1.0,0.0,31,39.0,0.0,3.0,2.0,2.0,6.0
98981,hardyjj01,2014,1,BAL,AL,141,529,56,142,28,0,9,52.0,0.0,0.0,29,104.0,1.0,4.0,3.0,4.0,12.0
98983,harpebr03,2014,1,WAS,NL,100,352,41,96,10,2,13,32.0,2.0,2.0,38,104.0,4.0,1.0,3.0,1.0,6.0
98985,harrijo05,2014,1,PIT,NL,143,520,77,164,38,7,13,52.0,18.0,7.0,22,81.0,1.0,4.0,2.0,2.0,6.0
98988,hartco01,2014,1,SEA,AL,68,232,17,47,9,0,6,21.0,2.0,0.0,16,59.0,1.0,6.0,0.0,1.0,1.0
98993,headlch01,2014,1,SDN,NL,77,279,27,64,12,1,7,32.0,4.0,1.0,22,73.0,0.0,5.0,0.0,1.0,12.0
98994,headlch01,2014,2,NYA,AL,58,191,28,50,8,0,6,17.0,3.0,2.0,29,49.0,1.0,4.0,0.0,0.0,5.0
98996,hechaad01,2014,1,MIA,NL,146,536,53,148,20,10,1,34.0,7.0,5.0,26,86.0,5.0,1.0,4.0,6.0,21.0
98997,heisech01,2014,1,CIN,NL,119,275,34,61,15,2,8,22.0,9.0,2.0,15,64.0,0.0,2.0,5.0,2.0,3.0
99004,hernace02,2014,1,PHI,NL,66,114,13,27,2,0,1,4.0,1.0,1.0,9,33.0,1.0,0.0,1.0,1.0,1.0
99010,herreel01,2014,1,MIL,NL,69,135,14,37,7,1,0,5.0,4.0,1.0,3,36.0,1.0,0.0,1.0,1.0,1.0
99016,heywaja01,2014,1,ATL,NL,149,573,74,155,26,3,11,58.0,20.0,4.0,67,98.0,3.0,6.0,0.0,3.0,2.0
99017,hicksaa01,2014,1,MIN,AL,69,186,22,40,8,0,1,18.0,4.0,3.0,36,56.0,0.0,0.0,2.0,1.0,2.0
99018,hicksbr01,2014,1,SFN,NL,71,204,27,33,6,1,8,22.0,0.0,1.0,32,77.0,3.0,2.0,3.0,1.0,5.0
99019,hillaa01,2014,1,ARI,NL,133,501,52,122,26,3,10,60.0,4.0,3.0,28,92.0,0.0,5.0,0.0,7.0,16.0
99024,hoeslj01,2014,1,HOU,AL,55,122,12,21,5,0,3,11.0,0.0,0.0,10,31.0,0.0,0.0,1.0,3.0,5.0
99025,holadbr01,2014,1,DET,AL,62,156,14,36,5,1,0,15.0,1.0,1.0,8,37.0,0.0,1.0,2.0,4.0,4.0
99030,hollima01,2014,1,SLN,NL,156,574,83,156,37,0,20,90.0,4.0,1.0,74,100.0,4.0,17.0,0.0,2.0,20.0
