,playerID,yearID,stint,teamID,lgID,G,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,IBB,HBP,SH,SF,GIDP
103839,pearcst01,2017,1,TOR,AL,92,313,38,79,17,1,13,37.0,0.0,0.0,27,68.0,1.0,5.0,0.0,3.0,11.0
103841,pedrodu01,2017,1,BOS,AL,105,406,46,119,19,0,7,62.0,4.0,3.0,49,48.0,4.0,2.0,2.0,4.0,11.0
103846,pennicl01,2017,1,LAA,AL,87,194,23,49,6,0,3,21.0,3.0,1.0,16,58.0,0.0,1.0,1.0,5.0,2.0
103857,perezro02,2017,1,CLE,AL,73,217,22,45,12,0,8,38.0,0.0,1.0,26,71.0,0.0,0.0,4.0,1.0,4.0
103858,perezsa02,2017,1,KCA,AL,129,471,57,126,24,1,27,80.0,1.0,0.0,17,95.0,3.0,5.0,0.0,5.0,23.0
103867,phegljo01,2017,1,OAK,AL,57,149,14,30,11,0,3,10.0,0.0,1.0,9,26.0,0.0,2.0,0.0,1.0,4.0
103871,phillbr01,2017,2,LAA,AL,24,102,13,26,7,0,2,8.0,1.0,0.0,2,16.0,0.0,0.0,1.0,0.0,2.0
103873,pillake01,2017,1,TOR,AL,154,587,72,150,37,1,16,42.0,15.0,6.0,33,95.0,0.0,6.0,3.0,3.0,13.0
103876,pindech01,2017,1,OAK,AL,87,282,36,67,15,1,15,42.0,2.0,1.0,18,92.0,0.0,5.0,0.0,3.0,7.0
103883,plouftr01,2017,1,OAK,AL,58,182,22,39,5,0,7,14.0,1.0,1.0,16,58.0,1.0,0.0,0.0,1.0,10.0
103884,plouftr01,2017,2,TBA,AL,42,101,9,17,2,0,2,5.0,0.0,1.0,12,30.0,1.0,1.0,0.0,0.0,2.0
103886,polanjo01,2017,1,MIN,AL,133,488,60,125,30,3,13,74.0,13.0,5.0,41,78.0,1.0,2.0,7.0,6.0,7.0
103896,preslal01,2017,1,DET,AL,71,245,30,77,10,3,3,20.0,5.0,0.0,15,49.0,0.0,0.0,3.0,0.0,5.0
103904,pujolal01,2017,1,LAA,AL,149,593,53,143,17,0,23,101.0,3.0,0.0,37,93.0,5.0,2.0,0.0,4.0,26.0
103914,ramirha01,2017,1,BOS,AL,133,496,58,120,24,0,23,62.0,1.0,3.0,51,116.0,8.0,6.0,0.0,0.0,15.0
103916,ramirjo01,2017,1,CLE,AL,152,585,107,186,56,6,29,83.0,17.0,5.0,52,69.0,5.0,3.0,0.0,5.0,13.0
103925,ramoswi01,2017,1,TBA,AL,64,208,19,54,6,0,11,35.0,0.0,0.0,10,36.0,2.0,0.0,0.0,3.0,11.0
103926,rasmuco01,2017,1,TBA,AL,37,121,17,34,7,1,9,23.0,1.0,0.0,7,45.0,2.0,0.0,0.0,1.0,1.0
103932,reddijo01,2017,1,HOU,AL,134,477,77,150,34,4,13,82.0,7.0,3.0,43,72.0,1.0,0.0,1.0,12.0,9.0
103943,reverbe01,2017,1,LAA,AL,109,291,37,80,13,2,1,20.0,21.0,6.0,15,25.0,0.0,0.0,0.0,2.0,7.0
103950,rickajo01,2017,1,BAL,AL,111,261,29,63,15,0,4,19.0,8.0,1.0,9,63.0,0.0,4.0,2.0,1.0,6.0
