,playerID,yearID,stint,teamID,lgID,G,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,IBB,HBP,SH,SF,GIDP
67994,lemonch01,1990,1,DET,AL,104,322,39,83,16,4,5,32.0,3.0,2.0,48,61.0,3.0,4.0,2.0,2.0,8.0
67995,leonaje01,1990,1,SEA,AL,134,478,39,120,20,0,10,75.0,4.0,2.0,37,97.0,6.0,3.0,0.0,7.0,20.0
67999,leyriji01,1990,1,NYA,AL,92,303,28,78,13,1,5,25.0,2.0,3.0,27,51.0,1.0,7.0,1.0,1.0,11.0
68005,liriane01,1990,1,TOR,AL,50,170,16,36,7,2,1,15.0,3.0,5.0,16,20.0,0.0,1.0,1.0,1.0,5.0
68006,liriane01,1990,2,MIN,AL,53,185,30,47,5,7,0,13.0,5.0,2.0,22,24.0,0.0,0.0,3.0,1.0,3.0
68020,lyonsst01,1990,1,CHA,AL,94,146,22,28,6,1,1,11.0,1.0,0.0,10,41.0,1.0,1.0,4.0,2.0,1.0
68021,maaske01,1990,1,NYA,AL,79,254,42,64,9,0,21,41.0,1.0,2.0,43,76.0,10.0,3.0,0.0,0.0,2.0
68023,macfami01,1990,1,KCA,AL,124,400,37,102,24,4,6,58.0,1.0,0.0,25,69.0,2.0,7.0,1.0,6.0,9.0
68026,macksh01,1990,1,MIN,AL,125,313,50,102,10,4,8,44.0,13.0,4.0,29,69.0,1.0,5.0,6.0,0.0,7.0
68032,maldoca01,1990,1,CLE,AL,155,590,76,161,32,2,22,95.0,3.0,5.0,49,134.0,4.0,5.0,0.0,7.0,13.0
68038,manrifr01,1990,1,MIN,AL,69,228,22,54,10,0,5,29.0,2.0,0.0,4,35.0,0.0,2.0,1.0,2.0,8.0
68043,marshmi02,1990,2,BOS,AL,30,112,10,32,6,1,4,12.0,0.0,0.0,4,26.0,0.0,1.0,0.0,0.0,2.0
68046,martica02,1990,1,CHA,AL,92,272,18,61,6,5,4,24.0,0.0,4.0,10,40.0,2.0,0.0,1.0,0.0,8.0
68049,martied01,1990,1,SEA,AL,144,487,71,147,27,2,11,49.0,1.0,4.0,74,62.0,3.0,5.0,1.0,3.0,13.0
68054,mattido01,1990,1,NYA,AL,102,394,40,101,16,0,5,42.0,1.0,0.0,28,20.0,13.0,3.0,0.0,3.0,13.0
68074,mcgeewi01,1990,2,OAK,AL,29,113,23,31,3,2,0,15.0,3.0,0.0,10,18.0,0.0,0.0,0.0,0.0,4.0
68075,mcgrifr01,1990,1,TOR,AL,153,557,91,167,21,1,35,88.0,5.0,3.0,94,108.0,12.0,2.0,1.0,4.0,7.0
68078,mcgwima01,1990,1,OAK,AL,156,523,87,123,16,0,39,108.0,2.0,1.0,110,116.0,9.0,7.0,1.0,9.0,13.0
68084,mcraebr01,1990,1,KCA,AL,46,168,21,48,8,3,2,23.0,4.0,3.0,9,29.0,0.0,0.0,3.0,2.0,5.0
