,playerID,yearID,stint,teamID,lgID,G,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,IBB,HBP,SH,SF,GIDP
104203,turneju01,2017,1,LAN,NL,130,457,72,147,32,0,21,71.0,7.0,1.0,59,56.0,5.0,19.0,1.0,7.0,12.0
104205,turnetr01,2017,1,WAS,NL,98,412,75,117,24,6,11,45.0,46.0,8.0,30,80.0,0.0,4.0,0.0,1.0,4.0
104213,utleych01,2017,1,LAN,NL,127,309,43,73,20,4,8,34.0,6.0,1.0,32,57.0,0.0,9.0,1.0,2.0,3.0
104214,valaipa01,2017,1,COL,NL,110,182,28,47,11,0,13,40.0,0.0,0.0,7,53.0,0.0,0.0,5.0,1.0,1.0
104236,villajo01,2017,1,MIL,NL,122,403,49,97,18,1,11,40.0,23.0,8.0,30,132.0,1.0,0.0,2.0,1.0,4.0
104242,vogtst01,2017,2,MIL,NL,45,122,13,31,7,0,8,20.0,0.0,0.0,5,25.0,0.0,0.0,1.0,1.0,1.0
104243,voitlu01,2017,1,SLN,NL,62,114,18,28,9,0,4,18.0,0.0,0.0,7,31.0,0.0,3.0,0.0,0.0,4.0
104246,vottojo01,2017,1,CIN,NL,162,559,106,179,34,1,36,100.0,5.0,1.0,134,83.0,20.0,8.0,0.0,6.0,16.0
104252,walkene01,2017,1,NYN,NL,73,265,40,70,13,2,10,36.0,0.0,1.0,27,47.0,1.0,4.0,1.0,2.0,4.0
104253,walkene01,2017,2,MIL,NL,38,120,19,32,8,0,4,13.0,0.0,1.0,28,30.0,1.0,1.0,0.0,0.0,5.0
104268,werthja01,2017,1,WAS,NL,70,252,35,57,10,1,10,29.0,4.0,3.0,35,69.0,1.0,1.0,0.0,1.0,4.0
104274,wietema01,2017,1,WAS,NL,123,422,43,95,20,0,10,52.0,1.0,0.0,38,94.0,4.0,1.0,0.0,4.0,14.0
104281,willini01,2017,1,PHI,NL,83,313,45,90,14,4,12,55.0,1.0,2.0,20,97.0,0.0,6.0,0.0,4.0,8.0
104289,winkeje01,2017,1,CIN,NL,47,121,21,36,7,0,7,15.0,1.0,1.0,15,24.0,0.0,0.0,1.0,0.0,2.0
104294,wolteto01,2017,1,COL,NL,83,229,30,55,8,1,0,16.0,0.0,1.0,33,55.0,9.0,2.0,2.0,0.0,9.0
104295,wongko01,2017,1,SLN,NL,108,354,55,101,27,3,4,42.0,8.0,2.0,41,60.0,11.0,12.0,1.0,3.0,4.0
104311,yelicch01,2017,1,MIA,NL,156,602,100,170,36,2,18,81.0,16.0,2.0,80,137.0,4.0,6.0,0.0,6.0,13.0
104322,zimmery01,2017,1,WAS,NL,144,524,90,159,33,0,36,108.0,1.0,0.0,44,126.0,1.0,3.0,0.0,5.0,16.0
104323,zobribe01,2017,1,CHN,NL,128,435,58,101,20,3,12,50.0,2.0,2.0,54,71.0,2.0,2.0,2.0,3.0,13.0
104327,acunaro01,2018,1,ATL,NL,111,433,78,127,26,4,26,64.0,16.0,5.0,45,123.0,2.0,6.0,0.0,3.0,4.0
104333,adamsma01,2018,1,WAS,NL,94,249,37,64,9,0,18,48.0,0.0,0.0,24,55.0,2.0,4.0,0.0,0.0,6.0
104337,aguilje01,2018,1,MIL,NL,149,492,80,135,25,0,35,108.0,0.0,0.0,58,143.0,3.0,6.0,0.0,10.0,19.0
104338,ahmedni01,2018,1,ARI,NL,153,516,61,121,33,5,16,70.0,5.0,4.0,40,109.0,2.0,2.0,1.0,5.0,15.0
104341,albieoz01,2018,1,ATL,NL,158,639,105,167,40,5,24,72.0,14.0,3.0,36,116.0,0.0,5.0,1.0,3.0,9.0
104345,alfarjo01,2018,1,PHI,NL,108,344,35,90,16,2,10,37.0,3.0,0.0,18,138.0,6.0,14.0,0.0,1.0,2.0
104353,almoral01,2018,1,CHN,NL,152,444,62,127,24,1,5,41.0,1.0,3.0,24,83.0,1.0,3.0,2.0,6.0,12.0
104356,altheaa01,2018,1,PHI,NL,105,243,28,44,11,1,8,38.0,3.0,2.0,36,91.0,0.0,4.0,0.0,2.0,13.0
